what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1397962705469
java.specification.name,sysinfo,,,"Java Platform API Specification",1397962705469
java.specification.vendor,sysinfo,,,"Oracle Corporation",1397962705469
java.specification.version,sysinfo,,,"1.7",1397962705469
java.vendor,sysinfo,,,"Oracle Corporation",1397962705469
java.version,sysinfo,,,"1.7.0_55",1397962705469
java.vm.info,sysinfo,,,"mixed mode, sharing",1397962705469
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397962705469
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397962705469
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397962705469
java.vm.specification.version,sysinfo,,,"1.7",1397962705469
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397962705469
java.vm.version,sysinfo,,,"24.55-b03",1397962705469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962708889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962722790
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1397962726019
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1397962726830
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1397962726899
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397962726950
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397962726977
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1397962727643
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1397962727647
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1397962727670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962730192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962974722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397962979121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962981623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962989854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962991163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962991948
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397962992023
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1397962992134
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1397962992185
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1397962992186
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1397962992186
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1397962992187
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1397962992187
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1397962992188
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1397962992276
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1397962992277
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1397962992277
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1397962992277
stopped,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1397962992277
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1397962992317
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1397962992317
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1397971447110
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1397971447111
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1397971447112
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1397971447113
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1397971447114
