what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318348135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318363919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318376198
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398318383383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398318384954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318386735
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1398318389666
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1398318389689
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1398318389695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318392159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318405819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318407680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318501673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318504347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318506417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318515740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318517454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318528058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318529712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318541311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1398318544052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318545879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318549517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318685178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318722148
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318744728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318860375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318862914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318864934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318877173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318887092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318892727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318913774
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318915588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318920318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318927156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318928638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318931025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318942810
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318944743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398318990795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398318999350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319001578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319014329
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398319019375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319021640
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1398319048666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319052779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398319074516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319076724
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319092080
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1398319095182
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1398319095210
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1398319095214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319101788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319118566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319123288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319150231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398319151669
