what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1397100392441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1397100401497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397100403632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397100433090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397100435051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100436750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100464052
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1397100467827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1397100474176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397100476812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397100485305
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397100487669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100489441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100495795
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1397100497573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397100507787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100509594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100615583
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397100618139
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1397100625794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100660544
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100826655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100829779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100863983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100872520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100874223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100884554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397100886201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397101003463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397101011505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397101013857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397101022165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397101038593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397101040760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397101054257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1397101059559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397101061891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397101065420
