what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598350434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598352339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598376805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598378372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598378476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397598410358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397598424066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598466247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598468170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598490888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598493344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598523333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397598535892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598540548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598546087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598555764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598564294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598577241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598583706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598615308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598617745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598620764
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598633167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598634914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598638257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397598644399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598646135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598648117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598651575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598654759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598656372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598660919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598669346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598671292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598673879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598680889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598683091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598685797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397598691229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598692137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598693804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598696691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598699503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598701469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598703500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598706772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598708804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598713143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598717944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598719761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598722003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598724744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598726538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598729033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397598730120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598731604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598733253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598736688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598738879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598740668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598743057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598745081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598749039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598750867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598754019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397598757827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397598759721
