what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1396731645688
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1396731645688
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1396731645688
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1396731645688
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1396731645689
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1396731645689
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1396731645690
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1396731645691
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1396731645691
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1396731645691
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1396731645692
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1396731645693
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1396731645694
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1396731645694
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1396731645694
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1396731645694
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1396731645695
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1396731645696
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1396731645696
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1396731645697
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1396731645697
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1396731645697
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1396731645716
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1396731645717
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1396731645717
os,sysinfo,,,"win32",1396731645719
arch,sysinfo,,,"x86",1396731645719
ws,sysinfo,,,"win32",1396731645719
locale,sysinfo,,,"en_US",1396731645719
processors,sysinfo,,,"8",1396731645719
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396731645719
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1396731645719
java.specification.name,sysinfo,,,"Java Platform API Specification",1396731645719
java.specification.vendor,sysinfo,,,"Oracle Corporation",1396731645719
java.specification.version,sysinfo,,,"1.7",1396731645719
java.vendor,sysinfo,,,"Oracle Corporation",1396731645719
java.version,sysinfo,,,"1.7.0_51",1396731645719
java.vm.info,sysinfo,,,"mixed mode, sharing",1396731645719
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1396731645719
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396731645719
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1396731645719
java.vm.specification.version,sysinfo,,,"1.7",1396731645719
java.vm.vendor,sysinfo,,,"Oracle Corporation",1396731645719
java.vm.version,sysinfo,,,"24.51-b03",1396731645719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396731674621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396731683360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396731694353
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396731697577
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1396731697604
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1396731702366
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1396731702390
