what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672294344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672296488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672311464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1398672327768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398672343437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672349535
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672361181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672364146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672375828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672415485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672446523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672448950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672460580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398672472050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398672478992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672479988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672481789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672493625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672569617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672572024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672598539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672622839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672625175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672632495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672644989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672647589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672655730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398672685141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398672696325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398672708006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398672716901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672720851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672722164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398672726515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398672729599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398672731910
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1398672742163
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1398672743906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1398672743924
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1398672743931
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1398672746544
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1398672746544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672751797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672886542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672893471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398672971161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398673116732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398716334297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398716406510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398716423555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398716438432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398716452093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398716461586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398716464992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398716475953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398716526176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398716546626
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398716549575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398716551932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398716558429
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398716578453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398716601322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398716602367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398716647591
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398716659143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398716660504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398716702863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717378349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717382544
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717406119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398717676448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398717684038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717687202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717700176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398717725744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398717745988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717749164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717780924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717782496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717818848
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398717853860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717867144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717877084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398717883590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718009260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718062690
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718069178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718096045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718124293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718126538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718166535
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718181023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718197349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718232798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718236169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718242036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718244848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718251089
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718263323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718265846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718268212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718270628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718272760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718283564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718285252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718409960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398718515194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398718534941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718537719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398718561273
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398718570134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718588896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718610973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718612610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718613559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718614949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718615579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718616072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718616654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718617931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718619415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718621449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718622076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718622913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718623437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718623828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718624172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718624916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718626037
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718626468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718626944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718627526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398718646600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1398718653459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718654581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398718681201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398718691054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718692493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718698203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398718708106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398718732777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398718747671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718753214
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718763646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398718832301
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398718864544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718877581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718912310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718925941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398718973600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398718992303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398719005272
