what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1398634348905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634353161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634374677
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1398634374794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634387312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634389473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634438260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634446658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634448711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634456148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634501926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634507906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634519592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634532787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634538050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634544798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634548614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634550878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634559068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634596584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634599623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634606969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634613798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634616566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634620755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634628964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634636026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398634644414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634702099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398634713755
