what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397532629993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397532638702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532642676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532645770
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1397532645926
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1397532646001
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1397532646046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532647134
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532649719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532684518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532691582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397532709062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397532731685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532734324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532736305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397532743308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532746078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532748752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532757133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532779624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532781598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532812250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532822603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532826140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532843241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532845913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532851640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532854240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397532857919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397532858085
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397532858255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397532858438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397532861424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397532886207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532893401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532916957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397532924123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532927071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532927615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532944105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532944221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397532991228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532995096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397532998727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533018168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533018277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1397533047140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397533050785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397533062395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397533072364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397533075458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397533076925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533079989
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533085656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397533139319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533141504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533141605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533143510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533146913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397533154386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533156869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533175683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397533186061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533188647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533191754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533203470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533207608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533211916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533212025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397533217773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533219929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533223062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533231232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533231339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397533242368
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397533267909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397533273033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397546200076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397546205057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397546205907
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397546206025
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1397546206119
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1397546206167
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1397546206168
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1397546206168
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1397546206169
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1397546206169
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1397546206169
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1397546206170
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1397546206170
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1397546206170
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1397546206170
stopped,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1397546206170
