what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1397522108067
arch,sysinfo,,,"x86",1397522108067
ws,sysinfo,,,"win32",1397522108067
locale,sysinfo,,,"en_US",1397522108067
processors,sysinfo,,,"8",1397522108067
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397522108067
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1397522108067
java.specification.name,sysinfo,,,"Java Platform API Specification",1397522108067
java.specification.vendor,sysinfo,,,"Oracle Corporation",1397522108067
java.specification.version,sysinfo,,,"1.7",1397522108067
java.vendor,sysinfo,,,"Oracle Corporation",1397522108067
java.version,sysinfo,,,"1.7.0_51",1397522108067
java.vm.info,sysinfo,,,"mixed mode, sharing",1397522108068
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397522108068
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397522108068
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397522108068
java.vm.specification.version,sysinfo,,,"1.7",1397522108068
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397522108068
java.vm.version,sysinfo,,,"24.51-b03",1397522108068
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397522110973
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397522111002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522113001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522113218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522113265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522115128
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1397522115448
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1397522115560
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1397522115635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522116439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522124691
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397522126913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522129147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522168956
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397522173136
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397522178852
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397522178871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522301345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522340041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522346026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522347512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522349578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522393617
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1397522399605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522410044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522413950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522439528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522449939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397522468803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522480862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397522480973
