what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397792197285
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397792199234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397792292021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397792292525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397792292713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397792292891
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397792344759
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397792346134
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397792349885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397792351282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397792353356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397792361328
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397792372924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397792432786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397792435562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1397792435571
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1397792447289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397792462743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397792467282
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1397792467286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397792467286
error,log,,,"Exception loading preferences from: /04-04-ProblemSolvingKarel/.settings/org.eclipse.jdt.core.prefs.",1397792470894
error,log,,,"Exception loading preferences from: C:/Users/Kevin/Documents/CS106A/ProblemSolvingKarel/.settings/org.eclipse.jdt.core.prefs.",1397792470895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397792472390
