what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1397851877364
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1397851877364
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1397851877365
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1397851877366
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1397851877367
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1397851877367
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1397851877368
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1397851877369
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1397851877369
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1397851877371
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1397851877372
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1397851877373
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1397851877375
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1397851877376
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1397851877376
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1397851877377
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1397851877378
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1397851877379
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1397851877379
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1397851877380
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1397851877381
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1397851877382
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1397851877383
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397851877384
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1397851877384
os,sysinfo,,,"win32",1397851877387
arch,sysinfo,,,"x86",1397851877387
ws,sysinfo,,,"win32",1397851877387
locale,sysinfo,,,"en_US",1397851877387
processors,sysinfo,,,"8",1397851877387
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397851877387
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1397851877387
java.specification.name,sysinfo,,,"Java Platform API Specification",1397851877387
java.specification.vendor,sysinfo,,,"Oracle Corporation",1397851877387
java.specification.version,sysinfo,,,"1.7",1397851877387
java.vendor,sysinfo,,,"Oracle Corporation",1397851877387
java.version,sysinfo,,,"1.7.0_55",1397851877387
java.vm.info,sysinfo,,,"mixed mode, sharing",1397851877387
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397851877387
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397851877387
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397851877387
java.vm.specification.version,sysinfo,,,"1.7",1397851877387
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397851877387
java.vm.version,sysinfo,,,"24.55-b03",1397851877387
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1397851878502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397851879043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397851881468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397851919739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397851924150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397851953548
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397851971540
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397851973169
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397851976448
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397851976450
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397851977796
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397851977814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397851985602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397853837363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397853843380
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397867822166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397867823285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397884594434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397884595926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397884596702
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397884596779
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1397884596990
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1397884597047
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1397884597048
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1397884597074
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1397962656575
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1397962656577
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1397962656578
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1397962656579
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1397962656580
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1397962656580
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1397962656582
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1397962656582
