what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398667114317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1398667162991
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1398667164972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667187823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1398667193776
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1398667196603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667198861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667200600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667216702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667244495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667249754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667267046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667290701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667305809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667307617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667324240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667333607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667398062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667412052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667472539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667484858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667488278
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667498011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667510801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667518414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667520740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667533957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667541417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667573843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667603794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667623923
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667648439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667651906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667668666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667679164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667692877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667706985
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667711027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667713108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667726631
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667732041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667734100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667743441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667746852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667748616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667758063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667761712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667763578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667776818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667779633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667781447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667798755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1398667804238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667822513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667869414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667911802
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667923304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398667939727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398667993985
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398668010411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398668012308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398668021943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398668023190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398668072947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398668081319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398668086318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1398668093825
