what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594700263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397594708080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594709786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594714180
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397594720343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594722866
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594725451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397594746569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594748452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594750663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594757325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594759849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594769714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594786917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594791105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594799330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1397594825459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397594915812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594918167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594932917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397594992658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397594994902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397595009619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397595023415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397595025092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397595027469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397595047790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397595058377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397595060279
